Team Name,Wins,Losses,Goals For,Goals Against
Boston Bruins,44,24,299,264
Buffalo Sabres,31,30,292,278
Calgary Flames,46,26,344,263
Chicago Blackhawks,49,23,284,211
Detroit Red Wings,34,38,273,298
Edmonton Oilers,37,37,272,272
Hartford Whalers,31,38,238,276
Los Angeles Kings,46,24,340,254
Minnesota North Stars,27,39,256,266
Montreal Canadiens,39,30,273,249
New Jersey Devils,32,33,272,264
New York Islanders,25,45,223,290
New York Rangers,36,31,297,265
Philadelphia Flyers,33,37,252,267
Pittsburgh Penguins,41,33,342,305
Quebec Nordiques,16,50,236,354
St. Louis Blues,47,22,310,250
Toronto Maple Leafs,23,46,241,318
Vancouver Canucks,28,43,243,315
Washington Capitals,37,36,258,258
Winnipeg Jets,26,43,260,288
Boston Bruins,36,32,270,275
Buffalo Sabres,31,37,289,299
Calgary Flames,31,37,296,305
Chicago Blackhawks,36,29,257,236
